man_nontrad_1_1,m_nt_1_scale_1,m_nt_1_scale_3,m_nt_1_scale_4,m_nt_1_scale_5,m_nt_1_scale_12,m_nt_1_scale_13,man_nontrad_2_1,m_nt_2_scale_1,m_nt_2_scale_3,m_nt_2_scale_4,m_nt_2_scale_5,m_nt_2_scale_12,m_nt_2_scale_13,man_nontrad_3_1,m_nt_3_scale_1,m_nt_3_scale_3,m_nt_3_scale_4,m_nt_3_scale_5,m_nt_3_scale_12,m_nt_3_scale_13,man_nontrad_4_1,m_nt_4_scale_1,m_nt_4_scale_3,m_nt_4_scale_4,m_nt_4_scale_5,m_nt_4_scale_12,m_nt_4_scale_13,man_nontrad_5_1,m_nt_5_scale_1,m_nt_5_scale_3,m_nt_5_scale_4,m_nt_5_scale_5,m_nt_5_scale_12,m_nt_5_scale_13,man_nontrad_6_1,m_nt_6_scale_1,m_nt_6_scale_3,m_nt_6_scale_4,m_nt_6_scale_5,m_nt_6_scale_12,m_nt_6_scale_13,man_nontrad_7_1,m_nt_7_scale_1,m_nt_7_scale_3,m_nt_7_scale_4,m_nt_7_scale_5,m_nt_7_scale_12,m_nt_7_scale_13,man_nontrad_8_1,m_nt_8_scale_1,m_nt_8_scale_3,m_nt_8_scale_4,m_nt_8_scale_5,m_nt_8_scale_12,m_nt_8_scale_13,man_nontrad_9_1,m_nt_9_scale_1,m_nt_9_scale_3,m_nt_9_scale_4,m_nt_9_scale_5,m_nt_9_scale_12,m_nt_9_scale_13,man_nontrad_10_1,m_nt_10_scale_1,m_nt_10_scale_3,m_nt_10_scale_4,m_nt_10_scale_5,m_nt_10_scale_12,m_nt_10_scale_13,man_trad_1_1,m_t_1_scale_1,m_t_1_scale_3,m_t_1_scale_4,m_t_1_scale_5,m_t_1_scale_12,m_t_1_scale_13,man_trad_2_1,m_t_2_scale_1,m_t_2_scale_3,m_t_2_scale_4,m_t_2_scale_5,m_t_2_scale_12,m_t_2_scale_13,man_trad_3_1,m_t_3_scale_1,m_t_3_scale_3,m_t_3_scale_4,m_t_3_scale_5,m_t_3_scale_12,m_t_3_scale_13,man_trad_4_1,m_t_4_scale_1,m_t_4_scale_3,m_t_4_scale_4,m_t_4_scale_5,m_t_4_scale_12,m_t_4_scale_13,man_trad_5_1,m_t_5_scale_1,m_t_5_scale_3,m_t_5_scale_4,m_t_5_scale_5,m_t_5_scale_12,m_t_5_scale_13,man_trad_6_1,m_t_6_scale_1,m_t_6_scale_3,m_t_6_scale_4,m_t_6_scale_5,m_t_6_scale_12,m_t_6_scale_13,man_trad_7_1,m_t_7_scale_1,m_t_7_scale_3,m_t_7_scale_4,m_t_7_scale_5,m_t_7_scale_12,m_t_7_scale_13,man_trad_8_1,m_t_8_scale_1,m_t_8_scale_3,m_t_8_scale_4,m_t_8_scale_5,m_t_8_scale_12,m_t_8_scale_13,man_trad_9_1,m_t_9_scale_1,m_t_9_scale_3,m_t_9_scale_4,m_t_9_scale_5,m_t_9_scale_12,m_t_9_scale_13,man_trad_10_1,m_t_10_scale_1,m_t_10_scale_3,m_t_10_scale_4,m_t_10_scale_5,m_t_10_scale_12,m_t_10_scale_13,woman_nontrad_1_1,w_nt_1_scale_1,w_nt_1_scale_3,w_nt_1_scale_4,w_nt_1_scale_5,w_nt_1_scale_12,w_nt_1_scale_13,woman_nontrad_2_1,w_nt_2_scale_1,w_nt_2_scale_3,w_nt_2_scale_4,w_nt_2_scale_5,w_nt_2_scale_12,w_nt_2_scale_13,woman_nontrad_3_1,w_nt_3_scale_1,w_nt_3_scale_3,w_nt_3_scale_4,w_nt_3_scale_5,w_nt_3_scale_12,w_nt_3_scale_13,woman_nontrad_4_1,w_nt_4_scale_1,w_nt_4_scale_3,w_nt_4_scale_4,w_nt_4_scale_5,w_nt_4_scale_12,w_nt_4_scale_13,woman_nontrad_5_1,w_nt_5_scale_1,w_nt_5_scale_3,w_nt_5_scale_4,w_nt_5_scale_5,w_nt_5_scale_12,w_nt_5_scale_13,woman_nontrad_6_1,w_nt_6_scale_1,w_nt_6_scale_3,w_nt_6_scale_4,w_nt_6_scale_5,w_nt_6_scale_12,w_nt_6_scale_13,woman_nontrad_7_1,w_nt_7_scale_1,w_nt_7_scale_3,w_nt_7_scale_4,w_nt_7_scale_5,w_nt_7_scale_12,w_nt_7_scale_13,woman_nontrad_8_1,w_nt_8_scale_1,w_nt_8_scale_3,w_nt_8_scale_4,w_nt_8_scale_5,w_nt_8_scale_12,w_nt_8_scale_13,woman_nontrad_9_1,w_nt_9_scale_1,w_nt_9_scale_3,w_nt_9_scale_4,w_nt_9_scale_5,w_nt_9_scale_12,w_nt_9_scale_13,woman_nontrad_10_1,w_nt_10_scale_1,w_nt_10_scale_3,w_nt_10_scale_4,w_nt_10_scale_5,w_nt_10_scale_12,w_nt_10_scale_13,woman_trad_1_1,w_t_1_scale_1,w_t_1_scale_3,w_t_1_scale_4,w_t_1_scale_5,w_t_1_scale_12,w_t_1_scale_13,woman_trad_2_1,w_t_2_scale_1,w_t_2_scale_3,w_t_2_scale_4,w_t_2_scale_5,w_t_2_scale_12,w_t_2_scale_13,woman_trad_3_1,w_t_3_scale_1,w_t_3_scale_3,w_t_3_scale_4,w_t_3_scale_5,w_t_3_scale_12,w_t_3_scale_13,woman_trad_4_1,w_t_4_scale_1,w_t_4_scale_3,w_t_4_scale_4,w_t_4_scale_5,w_t_4_scale_12,w_t_4_scale_13,woman_trad_5_1,w_t_5_scale_1,w_t_5_scale_3,w_t_5_scale_4,w_t_5_scale_5,w_t_5_scale_12,w_t_5_scale_13,woman_trad_6_1,w_t_6_scale_1,w_t_6_scale_3,w_t_6_scale_4,w_t_6_scale_5,w_t_6_scale_12,w_t_6_scale_13,woman_trad_7_1,w_t_7_scale_1,w_t_7_scale_3,w_t_7_scale_4,w_t_7_scale_5,w_t_7_scale_12,w_t_7_scale_13,woman_trad_8_1,w_t_8_scale_1,w_t_8_scale_3,w_t_8_scale_4,w_t_8_scale_5,w_t_8_scale_12,w_t_8_scale_13,woman_trad_9_1,w_t_9_scale_1,w_t_9_scale_3,w_t_9_scale_4,w_t_9_scale_5,w_t_9_scale_12,w_t_9_scale_13,woman_trad_10_1,w_t_10_scale_1,w_t_10_scale_3,w_t_10_scale_4,w_t_10_scale_5,w_t_10_scale_12,w_t_10_scale_13,age,gender,gender_5_TEXT,employment,role,company_size,experience,roles,industry,industry_12_TEXT,risk_aversion_1,risk_aversion_2,risk_aversion_3,risk_aversion_4,risk_aversion_5,risk_aversion_6,Condition,Iteration
,,,,,,,,,,,,,,,,,,,,,8,7,9,8,7,9,4,,,,,,,,,,,,,,,,,,,,,,8,8,7,8,8,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,Man,,Employed full time,director of operations,"1,000+ employees",10+ years,entry level and managers,Technology,,2,6,6,4,5,2,Man_Nontraditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,6,7,7,6,7,,,,,,,,,,,,,,,7,6,7,4,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,Man,,Employed full time,Lead Level Designer,Less than 50 employees,1-2 years,"Pixel Artist, Tester",Retail,,5,6,5,3,5,3,Man_Traditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10,9,8,9,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,10,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,Man,,Employed full time,Analyst ,"1,000+ employees",Less than 1 year,Analyst ,Technology,,2,4,4,2,6,4,Man_Traditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,7,9,8,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,6,5,8,8,5,,,,,,,,47,Woman,,Employed full time,IT director ,"500-1,000 employees",10+ years,IT director ,Technology,,5,7,6,5,3,5,Woman_Traditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,9,10,8,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,9,9,10,10,55,Woman,,Employed full time,Administrator,"1,000+ employees",10+ years,IT Administrator; Moderator; Front End Web Developer,"Professional or business services,Technology",,5,6,6,5,4,5,Woman_Traditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,7,8,8,9,10,,,,,,,,8,6,4,7,7,9,10,,,,,,,,30,Man,,Employed full time,IT Analyst,Less than 50 employees,Less than 1 year,IT Lead,Professional or business services,,3,5,4,3,5,3,Woman_Traditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,7,3,6,,,,,,,,9,9,8,8,8,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,Man,,Employed full time,IT Tech 2,"500-1,000 employees",Less than 1 year,IT Technician,Technology,,5,7,6,5,5,6,Woman_Nontraditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,5,7,7,7,7,8,9,5,7,7,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,Man,,Employed full time,accountant,100-500 employees,3-5 years,"hr analyst accountant, admins","Financial or information,Professional or business services",,7,6,6,2,7,1,Woman_Nontraditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,8,7,7,,,,,,,,8,9,8,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,Man,,Employed full time,PROJECT MANAGER,"1,000+ employees",10+ years,STAFF ENGINEERS,Professional or business services,,3,5,5,4,5,3,Woman_Nontraditional,Experiment
,,,,,,,,,,,,,,7,7,5,6,6,3,9,,,,,,,,,,,,,,,8,8,5,5,8,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,Man,,Employed full time,Project Manager,100-500 employees,5-10 years,"Software Developer, IT Technician, UI/UX designer",Technology,,3,6,5,5,5,3,Man_Nontraditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,8,7,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,Man,,Employed full time,Data scientist,100-500 employees,1-2 years,Business analyst,Financial or information,,2,5,4,3,5,6,Man_Traditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,2,6,,,,,,,,,,,,,,,3,5,5,5,5,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,Man,,Employed full time,Program Manager,100-500 employees,10+ years,"Developer, Tester, Operations Analyst, Systems Engineer, ",Technology,,3,5,4,4,6,5,Man_Nontraditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,5,5,5,7,5,,,,,,,,,,,,,,,8,8,8,5,8,8,8,,,,,,,,,,,,,,,65,Man,,Employed full time,Application Developer ,Less than 50 employees,10+ years,IT and service,"Professional or business services,Technology,Transportation, utilities, or wholesale",,4,5,5,4,4,3,Woman_Traditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,7,8,8,8,9,,,,,,,,,,,,,,,,,,,,,,9,9,8,9,8,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,Man,,Employed full time,Director,"1,000+ employees",10+ years,IT staff,Professional or business services,,1,6,5,5,7,1,Man_Traditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,3,4,5,7,6,,,,,,,,4,6,4,4,4,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,Man,,Employed full time,Technical Support,"1,000+ employees",3-5 years,Sales,"Professional or business services,Technology",,4,6,6,6,4,6,Woman_Traditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,5,7,8,8,8,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,Woman,,Employed full time,Research scientist II,"1,000+ employees",3-5 years,"Research assistant, lab manager",Professional or business services,,1,3,7,2,7,1,Man_Traditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,7,9,8,8,9,,,,,,,,,,,,,,,,,,,,,,7,7,7,9,10,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,Woman,,Employed full time,Manager,"500-1,000 employees",10+ years,"Finance and Insurance 
IT
Human Resources","Financial or information,Professional or business services,Technology",,6,4,7,3,6,5,Woman_Nontraditional,Experiment
,,,,,,,,,,,,,,7,8,6,7,8,2,8,8,8,7,7,8,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,Man,,Employed full time,IT Admin,50-100 employees,1-2 years,Technician,Technology,,4,6,5,5,4,5,Man_Nontraditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,8,10,8,10,10,,,,,,,,,,,,,,,10,8,5,10,8,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,Man,,Employed full time,i.t manager,"1,000+ employees",10+ years,"i.t technicians, engineers, programmers, it helpdesk",Manufacturing,,5,7,7,2,5,4,Woman_Nontraditional,Experiment
,,,,,,,10,9,10,9,9,9,10,,,,,,,,,,,,,,,9,8,7,7,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,Man,,Employed full time,Computer programmer,100-500 employees,1-2 years,Junior dev,Technology,,2,6,5,5,4,7,Man_Nontraditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,7,9,10,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,7,7,9,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,Man,,Employed full time,Middle Manager,Less than 50 employees,3-5 years,Technical Engineer ,Technology,,3,5,6,2,5,6,Woman_Nontraditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,8,8,8,9,9,,,,,,,,9,10,8,7,9,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,Woman,,Employed full time,manage,50-100 employees,3-5 years,medical technicians and support roles in healthcare,Health,,2,4,5,2,4,3,Man_Traditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,8,1,8,7,8,7,7,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,Woman,,Employed full time,Manager,"500-1,000 employees",3-5 years,"Employee, Assistant Manager",Technology,,5,3,6,1,6,2,Man_Nontraditional,Experiment
8,8,5,6,7,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,5,5,7,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,Man,,Employed full time,Data Architect,"1,000+ employees",3-5 years,"Data Engineer, Data Analyst",Other - not listed,"Service, Information",3,5,5,5,5,3,Man_Nontraditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,8,7,8,9,9,,,,,,,,,,,,,,,9,10,8,7,8,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,Man,,Employed full time,I.T. Manager,"1,000+ employees",5-10 years,"Help Desk Technician, IT Client Support Technician, Network Administrator",Technology,,3,3,3,3,6,3,Woman_Traditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,7,7,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,7,7,7,7,8,27,Woman,,Employed full time,Project Management,"1,000+ employees",3-5 years,"Project Manager, Junior/Senior Consultant, Junior/Senior Associate, Technical Manager ","Education,Public administration,Technology",,3,4,4,4,6,4,Woman_Traditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10,5,8,6,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10,5,8,6,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,Woman,,Employed full time,Regulatory Affairs Specialist ,100-500 employees,Less than 1 year,A graduate assistant program,Education,,3,6,6,5,4,7,Woman_Nontraditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,8,9,8,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,8,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,Man,,Employed full time,IT Manager,"1,000+ employees",5-10 years,Information Technology roles.,"Financial or information,Technology",,5,7,6,6,6,6,Man_Traditional,Experiment
